rank,name,country_name,country_id,value
1,Aleksandar Vukic,Australia,AUS,59.31%
2,John Millman,Australia,AUS,58.58%
3,Reilly Opelka,United States,USA,57.42%
4,Pablo Carreno Busta,Spain,ESP,56.68%
5,Novak Djokovic,Serbia,SRB,55.92%
6,Nick Kyrgios,Australia,AUS,55.90%
7,Juan Pablo Varillas Patino Samudio,Peru,PER,55.51%
8,Nuno Borges,Portugal,POR,55.44%
9,Casper Ruud,Norway,NOR,55.11%
10,Carlos Alcaraz Garfia,Spain,ESP,55.08%
11,Pablo Cuevas,Uruguay,URU,55.03%
12,Stefanos Tsitsipas,Greece,GRE,54.84%
13,Yoshihito Nishioka,Japan,JPN,54.83%
14,Maxime Cressy,United States,USA,54.57%
15,Miomir Kecmanovic,Serbia,SRB,54.53%
16,Hubert Hurkacz,Poland,POL,54.37%
17,Rafael Nadal,Spain,ESP,54.21%
18,Thiago Monteiro,Brazil,BRA,54.16%
19,Marc Andrea Huesler,Switzerland,SUI,53.78%
20,Stan Wawrinka,Switzerland,SUI,53.59%
21,Adrian Mannarino,France,FRA,53.50%
22,Dominic Thiem,Austria,AUT,53.45%
23,Tomas Machac,Czech Republic,CZE,53.44%
24,Tim Van Rijthoven,Netherlands,NED,53.26%
25,Borna Coric,Croatia,CRO,53.11%
26,Taylor Harry Fritz,United States,USA,52.92%
27,Jason Kubler,Australia,AUS,52.89%
28,Dominik Koepfer,Germany,GER,52.88%
29,Pedro Martinez Portero,Spain,ESP,52.80%
30,Lorenzo Musetti,Italy,ITA,52.79%
31,Steve Johnson,United States,USA,52.62%
32,Denis Shapovalov,Canada,CAN,52.59%
33,Brandon Nakashima,United States,USA,52.53%
34,Jenson Brooksby,United States,USA,52.46%
35,Jannik Sinner,Italy,ITA,52.42%
36,Corentin Moutet,France,FRA,52.40%
37,Roberto Bautista Agut,Spain,ESP,52.36%
38,Alex De Minaur,Australia,AUS,52.33%
39,Sebastian Baez,Argentina,ARG,52.32%
40,Holger Vitus Nodskov Rune,Denmark,DEN,52.27%
41,Roberto Carballes Baena,Spain,ESP,52.05%
42,Marcos Giron,United States,USA,51.94%
43,Jan Lennard Struff,Germany,GER,51.87%
44,Alex Molcan,Slovakia,SVK,51.84%
45,John Isner,United States,USA,51.77%
46,Dominic Stephan Stricker,Switzerland,SUI,51.76%
47,Elias Ymer,Sweden,SWE,51.66%
48,Roman Safiullin,Russian Federation,RUS,51.64%
49,Gael Monfils,France,FRA,51.61%
50,Richard Gasquet,France,FRA,51.51%
51,Dusan Lajovic,Serbia,SRB,51.51%
52,Benjamin Bonzi,France,FRA,51.51%
53,Marton Fucsovics,Hungary,HUN,51.41%
54,Daniel Evans,United Kingdom,GBR,51.40%
55,Jack Sock,United States,USA,51.33%
56,Denis Kudla,United States,USA,51.32%
57,Alejandro Davidovich Fokina,Spain,ESP,51.28%
58,Frances Tiafoe,United States,USA,51.20%
59,Grigor Dimitrov,Bulgaria,BUL,51.16%
60,Emil Ruusuvuori,Finland,FIN,51.14%
61,Andrey Rublev,Russian Federation,RUS,50.97%
62,Karen Khachanov,Russian Federation,RUS,50.95%
63,Daniil Medvedev,Russian Federation,RUS,50.94%
64,Felix Auger Aliassime,Canada,CAN,50.94%
65,Giulio Zeppieri,Italy,ITA,50.79%
66,Joao Sousa,Portugal,POR,50.79%
67,Jiri Lehecka,Czech Republic,CZE,50.76%
68,Matteo Berrettini,Italy,ITA,50.66%
69,Sebastian Korda,United States,USA,50.51%
70,James Duckworth,Australia,AUS,50.44%
71,Kamil Majchrzak,Poland,POL,50.40%
72,Filip Krajinovic,Serbia,SRB,50.38%
73,Francisco Cerundolo,Argentina,ARG,50.28%
74,Jack Draper,United Kingdom,GBR,50.19%
75,Cameron Norrie,United Kingdom,GBR,50.18%
76,Ugo Humbert,France,FRA,50.11%
77,Marin Cilic,Croatia,CRO,50.04%
78,Andy Murray,United Kingdom,GBR,49.95%
79,Tommy Paul,United States,USA,49.93%
80,Federico Coria,Argentina,ARG,49.76%
81,Nicolas Jarry,Chile,CHI,49.75%
82,Christopher Oconnell,Australia,AUS,49.74%
83,Gilles Simon,France,FRA,49.73%
84,Daniel Elahi Galan Riveros,Colombia,COL,49.71%
85,Radu Albot,"Moldova, Republic of",MDA,49.70%
86,Lorenzo Sonego,Italy,ITA,49.63%
87,David Goffin,Belgium,BEL,49.55%
88,Hugo Dellien,"Bolivia, Plurinational State of",BOL,49.50%
88,Liam Broady,United Kingdom,GBR,49.50%
90,Mikael Ymer,Sweden,SWE,49.44%
91,Mackenzie Mcdonald,United States,USA,49.42%
92,Fernando Verdasco,Spain,ESP,49.41%
93,Tallon Griekspoor,Netherlands,NED,49.37%
94,Facundo Bagnis,Argentina,ARG,49.32%
95,Albert Ramos,Spain,ESP,49.19%
96,Fabio Fognini,Italy,ITA,49.09%
97,Hugo Gaston,France,FRA,49.00%
98,Ryan Peniston,United Kingdom,GBR,48.97%
99,Oscar Otte,Germany,GER,48.83%
100,Arthur Rinderknech,France,FRA,48.76%
101,Andreas Seppi,Italy,ITA,48.65%
102,Norbert Gombos,Slovakia,SVK,48.60%
103,Soon Woo Kwon,"Korea, Republic of",KOR,48.50%
104,Aslan Karatsev,Russian Federation,RUS,48.26%
105,Ilya Ivashka,Belarus,BLR,48.24%
106,Laslo Djere,Serbia,SRB,48.09%
107,Jeffrey John Wolf,United States,USA,48.04%
108,Chun Hsin Tseng,"Taiwan, Province of China",TPE,48.02%
109,Alexei Popyrin,Australia,AUS,47.98%
110,Bernabe Zapata Miralles,Spain,ESP,47.97%
111,Alexander Zverev,Germany,GER,47.92%
112,Diego Sebastian Schwartzman,Argentina,ARG,47.85%
113,Ricardas Berankis,Lithuania,LTU,47.75%
114,Botic Van De Zandschulp,Netherlands,NED,47.73%
115,Quentin Halys,France,FRA,47.69%
116,Lloyd George Muirhead Harris,South Africa,RSA,47.64%
117,Thanasi Kokkinakis,Australia,AUS,47.39%
118,Christian Garin,Chile,CHI,46.90%
119,Jaume Munar,Spain,ESP,46.84%
120,Christopher Eubanks,United States,USA,46.83%
121,Jiri Vesely,Czech Republic,CZE,46.72%
122,Lucas Pouille,France,FRA,46.54%
123,Nikoloz Basilashvili,Georgia,GEO,45.92%
124,Henri Laaksonen,Switzerland,SUI,45.86%
125,Tomas Martin Etcheverry,Argentina,ARG,45.68%
126,Federico Delbonis,Argentina,ARG,45.66%
127,Jo Wilfried Tsonga,France,FRA,45.64%
128,Pablo Andujar,Spain,ESP,45.52%
129,Egor Gerasimov,Belarus,BLR,45.48%
130,Carlos Taberner,Spain,ESP,45.36%
131,Jordan Thompson,Australia,AUS,45.31%
132,Hugo Grenier,France,FRA,45.25%
133,Peter Gojowczyk,Germany,GER,45.12%
134,Alejandro Tabilo,Chile,CHI,45.12%
135,Constant Lestienne,France,FRA,45.10%
136,Manuel Guinard,France,FRA,44.02%
137,Taro Daniel,Japan,JPN,43.55%
138,Daniel Altmaier,Germany,GER,43.23%
139,Alexander Bublik,Kazakhstan,KAZ,43.19%
140,Sam Querrey,United States,USA,42.48%
141,Aljaz Bedene,Slovenia,SLO,42.34%
142,Max Purcell,Australia,AUS,41.41%
143,Benoit Paire,France,FRA,40.61%
144,Marco Cecchinato,Italy,ITA,40.45%
145,Stefan Kozlov,United States,USA,40.16%
146,Feliciano Lopez,Spain,ESP,40.07%
