rank,name,country_name,country_id,value
1,Milos Raonic,Canada,CAN,7.000
2,Taylor Harry Fritz,United States,USA,4.234
3,Vasek Pospisil,Canada,CAN,4.035
4,Tennys Sandgren,United States,USA,3.849
5,Lloyd George Muirhead Harris,South Africa,RSA,3.765
6,Jan Lennard Struff,Germany,GER,3.737
7,Benoit Paire,France,FRA,3.685
8,Stan Wawrinka,Switzerland,SUI,3.604
9,Alexander Bublik,Kazakhstan,KAZ,3.559
10,Alexander Zverev,Germany,GER,3.480
11,Felix Auger Aliassime,Canada,CAN,3.448
12,Daniil Medvedev,Russian Federation,RUS,3.393
13,Denis Shapovalov,Canada,CAN,3.389
14,Hubert Hurkacz,Poland,POL,3.200
15,Marin Cilic,Croatia,CRO,3.130
16,Andrey Rublev,Russian Federation,RUS,3.129
17,Stefanos Tsitsipas,Greece,GRE,2.869
18,Ugo Humbert,France,FRA,2.763
19,Pierre Hugues Herbert,France,FRA,2.620
20,Borna Coric,Croatia,CRO,2.587
21,Dominic Thiem,Austria,AUT,2.378
22,Karen Khachanov,Russian Federation,RUS,2.368
23,Novak Djokovic,Serbia,SRB,2.183
24,Lorenzo Sonego,Italy,ITA,2.115
25,Miomir Kecmanovic,Serbia,SRB,2.066
26,David Goffin,Belgium,BEL,1.964
27,Rafael Nadal,Spain,ESP,1.914
28,Jordan Thompson,Australia,AUS,1.869
28,Tommy Paul,United States,USA,1.869
30,Filip Krajinovic,Serbia,SRB,1.849
31,Marco Cecchinato,Italy,ITA,1.760
32,Adrian Mannarino,France,FRA,1.735
33,Frances Tiafoe,United States,USA,1.642
34,Grigor Dimitrov,Bulgaria,BUL,1.634
35,Pablo Carreno Busta,Spain,ESP,1.632
36,John Millman,Australia,AUS,1.627
37,Casper Ruud,Norway,NOR,1.521
38,Gilles Simon,France,FRA,1.481
39,Christian Garin,Chile,CHI,1.476
40,Daniel Evans,United Kingdom,GBR,1.462
41,Marton Fucsovics,Hungary,HUN,1.419
42,Dusan Lajovic,Serbia,SRB,1.417
43,Alex De Minaur,Australia,AUS,1.333
44,Jannik Sinner,Italy,ITA,1.224
45,Roberto Bautista Agut,Spain,ESP,1.221
46,Yoshihito Nishioka,Japan,JPN,0.667
47,Alejandro Davidovich Fokina,Spain,ESP,0.537
48,Diego Sebastian Schwartzman,Argentina,ARG,0.521
