rank,name,country_name,country_id,value
1,Rafael Nadal,Spain,ESP,9.07
2,Marton Fucsovics,Hungary,HUN,8.77
3,Kei Nishikori,Japan,JPN,8.75
4,Diego Sebastian Schwartzman,Argentina,ARG,8.56
5,Alexander Zverev,Germany,GER,8.50
6,Gael Monfils,France,FRA,8.40
7,Andrey Rublev,Russian Federation,RUS,8.18
8,Roger Federer,Switzerland,SUI,8.15
9,Filip Krajinovic,Serbia,SRB,7.93
10,Pablo Carreno Busta,Spain,ESP,7.88
11,David Goffin,Belgium,BEL,7.84
12,Fabio Fognini,Italy,ITA,7.84
13,Tennys Sandgren,United States,USA,7.80
14,Daniel Evans,United Kingdom,GBR,7.76
15,Hugo Dellien,"Bolivia, Plurinational State of",BOL,7.76
16,Daniil Medvedev,Russian Federation,RUS,7.75
17,Federico Delbonis,Argentina,ARG,7.75
18,Yoshihito Nishioka,Japan,JPN,7.71
19,Grigor Dimitrov,Bulgaria,BUL,7.67
20,Guido Pella,Argentina,ARG,7.52
21,Novak Djokovic,Serbia,SRB,7.50
22,Jaume Munar,Spain,ESP,7.48
23,Benoit Paire,France,FRA,7.47
24,Fernando Verdasco,Spain,ESP,7.44
25,Roberto Bautista Agut,Spain,ESP,7.41
26,Marin Cilic,Croatia,CRO,7.24
27,Dominic Thiem,Austria,AUT,7.15
28,Tomas Berdych,Czech Republic,CZE,7.15
29,Thomas Fabbiano,Italy,ITA,7.05
30,Jeremy Chardy,France,FRA,7.00
31,Radu Albot,"Moldova, Republic of",MDA,6.98
32,Nikoloz Basilashvili,Georgia,GEO,6.91
33,Stefanos Tsitsipas,Greece,GRE,6.87
34,Juan Ignacio Londero,Argentina,ARG,6.83
35,Jan Lennard Struff,Germany,GER,6.75
36,Stan Wawrinka,Switzerland,SUI,6.73
37,Frances Tiafoe,United States,USA,6.71
38,Gilles Simon,France,FRA,6.65
39,Ugo Humbert,France,FRA,6.64
40,Mikhail Kukushkin,Kazakhstan,KAZ,6.61
41,Damir Dzumhur,Bosnia and Herzegovina,BIH,6.54
41,Pablo Andujar,Spain,ESP,6.54
43,Feliciano Lopez,Spain,ESP,6.48
44,Jordan Thompson,Australia,AUS,6.44
45,Alex De Minaur,Australia,AUS,6.42
46,John Millman,Australia,AUS,6.39
47,Christian Garin,Chile,CHI,6.39
48,Borna Coric,Croatia,CRO,6.36
49,Karen Khachanov,Russian Federation,RUS,6.31
50,Denis Kudla,United States,USA,6.25
50,Roberto Carballes Baena,Spain,ESP,6.25
52,Pablo Cuevas,Uruguay,URU,6.24
53,Robin Haase,Netherlands,NED,6.23
54,Dusan Lajovic,Serbia,SRB,6.17
55,Adrian Mannarino,France,FRA,6.16
56,Andreas Seppi,Italy,ITA,6.15
57,Peter Gojowczyk,Germany,GER,6.11
58,Philipp Kohlschreiber,Germany,GER,6.11
59,Aljaz Bedene,Slovenia,SLO,6.10
60,Martin Klizan,Slovakia,SVK,6.05
61,Milos Raonic,Canada,CAN,6.04
62,Laslo Djere,Serbia,SRB,6.03
63,Joao Sousa,Portugal,POR,6.03
64,Cameron Norrie,United Kingdom,GBR,6.00
65,Richard Gasquet,France,FRA,5.96
66,Lucas Pouille,France,FRA,5.91
67,Albert Ramos,Spain,ESP,5.89
67,Alexei Popyrin,Australia,AUS,5.89
69,Matteo Berrettini,Italy,ITA,5.83
70,Miomir Kecmanovic,Serbia,SRB,5.72
71,Denis Shapovalov,Canada,CAN,5.69
72,Taro Daniel,Japan,JPN,5.67
73,Pierre Hugues Herbert,France,FRA,5.66
74,Sam Querrey,United States,USA,5.66
75,Alexander Bublik,Kazakhstan,KAZ,5.61
76,Felix Auger Aliassime,Canada,CAN,5.59
77,Casper Ruud,Norway,NOR,5.52
78,Leonardo Mayer,Argentina,ARG,5.50
78,Lorenzo Sonego,Italy,ITA,5.50
80,Hubert Hurkacz,Poland,POL,5.42
81,Kyle Edmund,United Kingdom,GBR,5.35
82,Jo Wilfried Tsonga,France,FRA,5.23
83,Steve Johnson,United States,USA,5.21
84,Taylor Harry Fritz,United States,USA,4.94
85,Marius Copil,Romania,ROU,4.82
86,Marco Cecchinato,Italy,ITA,4.64
87,John Isner,United States,USA,4.29
88,Nicolas Jarry,Chile,CHI,4.00
89,Reilly Opelka,United States,USA,3.90
90,Nick Kyrgios,Australia,AUS,3.65
