rank,name,country_name,country_id,value
1,Rafael Nadal,Spain,ESP,3.771
2,Novak Djokovic,Serbia,SRB,3.593
3,David Goffin,Belgium,BEL,3.304
4,Gael Monfils,France,FRA,3.230
5,Mikael Ymer,Sweden,SWE,3.217
6,Alexander Zverev,Germany,GER,3.171
7,Diego Sebastian Schwartzman,Argentina,ARG,3.168
8,Alejandro Davidovich Fokina,Spain,ESP,3.154
8,Jaume Munar,Spain,ESP,3.154
10,Federico Delbonis,Argentina,ARG,3.133
11,Daniil Medvedev,Russian Federation,RUS,3.120
12,Aslan Karatsev,Russian Federation,RUS,3.085
13,Mackenzie Mcdonald,United States,USA,3.084
14,Christian Garin,Chile,CHI,3.068
15,Stefano Travaglia,Italy,ITA,3.063
16,Carlos Alcaraz Garfia,Spain,ESP,3.049
17,Ilya Ivashka,Belarus,BLR,3.011
18,Corentin Moutet,France,FRA,2.983
19,Roberto Carballes Baena,Spain,ESP,2.980
20,Laslo Djere,Serbia,SRB,2.959
21,Soon Woo Kwon,"Korea, Republic of",KOR,2.942
22,Kei Nishikori,Japan,JPN,2.941
23,Benoit Paire,France,FRA,2.932
24,Grigor Dimitrov,Bulgaria,BUL,2.880
25,Tommy Paul,United States,USA,2.878
26,Roberto Bautista Agut,Spain,ESP,2.862
27,Emil Ruusuvuori,Finland,FIN,2.851
28,Sebastian Korda,United States,USA,2.842
29,Jannik Sinner,Italy,ITA,2.828
30,Marton Fucsovics,Hungary,HUN,2.798
31,Guido Pella,Argentina,ARG,2.792
32,Alex De Minaur,Australia,AUS,2.788
33,Felix Auger Aliassime,Canada,CAN,2.784
34,Andrey Rublev,Russian Federation,RUS,2.780
35,Cameron Norrie,United Kingdom,GBR,2.779
36,Marin Cilic,Croatia,CRO,2.778
37,Albert Ramos,Spain,ESP,2.776
38,Jan Lennard Struff,Germany,GER,2.767
39,Botic Van De Zandschulp,Netherlands,NED,2.759
40,Pablo Andujar,Spain,ESP,2.750
41,Casper Ruud,Norway,NOR,2.742
42,Fabio Fognini,Italy,ITA,2.733
43,Stefanos Tsitsipas,Greece,GRE,2.733
44,Dusan Lajovic,Serbia,SRB,2.726
45,Pedro Martinez Portero,Spain,ESP,2.720
46,Andy Murray,United Kingdom,GBR,2.710
47,Pablo Carreno Busta,Spain,ESP,2.699
48,Frances Tiafoe,United States,USA,2.660
49,Egor Gerasimov,Belarus,BLR,2.619
50,Lorenzo Musetti,Italy,ITA,2.613
51,Hubert Hurkacz,Poland,POL,2.607
52,Lorenzo Sonego,Italy,ITA,2.587
53,Taylor Harry Fritz,United States,USA,2.577
54,Denis Shapovalov,Canada,CAN,2.565
55,Daniel Evans,United Kingdom,GBR,2.562
56,Filip Krajinovic,Serbia,SRB,2.547
57,Dominik Koepfer,Germany,GER,2.545
58,Miomir Kecmanovic,Serbia,SRB,2.519
59,John Millman,Australia,AUS,2.513
60,Karen Khachanov,Russian Federation,RUS,2.496
61,Matteo Berrettini,Italy,ITA,2.487
62,James Duckworth,Australia,AUS,2.475
63,Marco Cecchinato,Italy,ITA,2.383
64,Alexei Popyrin,Australia,AUS,2.383
65,Nikoloz Basilashvili,Georgia,GEO,2.382
66,Alexander Bublik,Kazakhstan,KAZ,2.357
67,Aljaz Bedene,Slovenia,SLO,2.350
68,Jordan Thompson,Australia,AUS,2.324
69,Lloyd George Muirhead Harris,South Africa,RSA,2.313
70,Marcos Giron,United States,USA,2.258
71,Jeremy Chardy,France,FRA,2.230
72,Arthur Rinderknech,France,FRA,2.219
73,Yoshihito Nishioka,Japan,JPN,2.200
74,Ugo Humbert,France,FRA,2.175
75,Gianluca Mager,Italy,ITA,2.127
76,Adrian Mannarino,France,FRA,2.059
77,Pierre Hugues Herbert,France,FRA,2.053
78,John Isner,United States,USA,1.672
79,Feliciano Lopez,Spain,ESP,1.333
80,Reilly Opelka,United States,USA,1.322
