rank,name,country_name,country_id,value
1,Novak Djokovic,Serbia,SRB,44.30%
2,Rafael Nadal,Spain,ESP,43.85%
3,Diego Sebastian Schwartzman,Argentina,ARG,41.92%
4,Roberto Bautista Agut,Spain,ESP,41.82%
5,Francisco Cerundolo,Argentina,ARG,41.57%
6,Daniil Medvedev,Russian Federation,RUS,41.15%
7,Andrey Rublev,Russian Federation,RUS,40.62%
8,Carlos Taberner,Spain,ESP,40.30%
9,Jannik Sinner,Italy,ITA,40.16%
10,Alejandro Davidovich Fokina,Spain,ESP,40.12%
11,Alexander Zverev,Germany,GER,39.97%
12,Jenson Brooksby,United States,USA,39.93%
13,David Goffin,Belgium,BEL,39.91%
14,Nikoloz Basilashvili,Georgia,GEO,39.90%
15,Cameron Norrie,United Kingdom,GBR,39.80%
16,Pablo Andujar,Spain,ESP,39.78%
17,Christian Garin,Chile,CHI,39.71%
18,Soon Woo Kwon,"Korea, Republic of",KOR,39.61%
19,Max Purcell,Australia,AUS,39.58%
20,Albert Ramos,Spain,ESP,39.48%
21,Mikael Ymer,Sweden,SWE,39.44%
22,Pedro Martinez Portero,Spain,ESP,39.42%
23,Aslan Karatsev,Russian Federation,RUS,39.18%
24,Emil Ruusuvuori,Finland,FIN,39.06%
25,Casper Ruud,Norway,NOR,39.03%
26,Grigor Dimitrov,Bulgaria,BUL,39.00%
27,Dominic Thiem,Austria,AUT,38.94%
28,Federico Delbonis,Argentina,ARG,38.90%
29,Alex De Minaur,Australia,AUS,38.87%
30,Alex Molcan,Slovakia,SVK,38.85%
31,Peter Gojowczyk,Germany,GER,38.84%
32,Fabio Fognini,Italy,ITA,38.75%
33,Andrej Martin,Slovakia,SVK,38.69%
34,Carlos Alcaraz Garfia,Spain,ESP,38.63%
35,Kei Nishikori,Japan,JPN,38.59%
36,Gael Monfils,France,FRA,38.55%
37,Stefanos Tsitsipas,Greece,GRE,38.47%
38,Pablo Carreno Busta,Spain,ESP,38.47%
39,Sebastian Korda,United States,USA,38.46%
40,Guido Pella,Argentina,ARG,38.39%
41,Borna Coric,Croatia,CRO,38.36%
42,Corentin Moutet,France,FRA,38.33%
43,Hugo Gaston,France,FRA,38.32%
44,Dominic Stephan Stricker,Switzerland,SUI,38.21%
45,Frances Tiafoe,United States,USA,38.20%
46,Roberto Carballes Baena,Spain,ESP,38.12%
47,Jaume Munar,Spain,ESP,38.07%
48,Elias Ymer,Sweden,SWE,38.02%
49,Marton Fucsovics,Hungary,HUN,38.01%
50,Andy Murray,United Kingdom,GBR,37.94%
51,Tommy Paul,United States,USA,37.93%
52,Milos Raonic,Canada,CAN,37.87%
53,Jack Sock,United States,USA,37.84%
54,John Millman,Australia,AUS,37.81%
55,Daniel Evans,United Kingdom,GBR,37.75%
56,Henri Laaksonen,Switzerland,SUI,37.75%
57,Jozef Kovalik,Slovakia,SVK,37.74%
58,Mackenzie Mcdonald,United States,USA,37.74%
59,Ilya Ivashka,Belarus,BLR,37.60%
60,Juan Ignacio Londero,Argentina,ARG,37.60%
61,Marin Cilic,Croatia,CRO,37.47%
62,James Duckworth,Australia,AUS,37.35%
63,Bernabe Zapata Miralles,Spain,ESP,37.34%
64,Gregoire Barrere,France,FRA,37.17%
