rank,name,country_name,country_id,value
1,Rafael Nadal,Spain,ESP,55.73%
2,Novak Djokovic,Serbia,SRB,54.97%
3,Daniil Medvedev,Russian Federation,RUS,54.51%
4,Carlos Alcaraz Garfia,Spain,ESP,53.71%
5,Juan Pablo Varillas Patino Samudio,Peru,PER,53.39%
6,Denis Shapovalov,Canada,CAN,52.90%
7,Alex De Minaur,Australia,AUS,52.89%
8,Pedro Martinez Portero,Spain,ESP,52.88%
9,Roberto Bautista Agut,Spain,ESP,52.77%
10,Pablo Carreno Busta,Spain,ESP,52.73%
11,Holger Vitus Nodskov Rune,Denmark,DEN,52.62%
12,Yoshihito Nishioka,Japan,JPN,52.46%
13,Dominik Koepfer,Germany,GER,52.43%
14,Casper Ruud,Norway,NOR,52.43%
15,Roman Safiullin,Russian Federation,RUS,52.43%
16,Corentin Moutet,France,FRA,52.39%
17,Jannik Sinner,Italy,ITA,52.23%
18,Maxime Cressy,United States,USA,52.02%
19,Francisco Cerundolo,Argentina,ARG,51.98%
20,Miomir Kecmanovic,Serbia,SRB,51.95%
21,Jan Lennard Struff,Germany,GER,51.90%
22,Aleksandar Vukic,Australia,AUS,51.87%
23,Nuno Borges,Portugal,POR,51.84%
24,Taylor Harry Fritz,United States,USA,51.79%
25,Diego Sebastian Schwartzman,Argentina,ARG,51.79%
26,Mikael Ymer,Sweden,SWE,51.75%
27,Richard Gasquet,France,FRA,51.73%
28,Stefanos Tsitsipas,Greece,GRE,51.67%
29,John Millman,Australia,AUS,51.66%
30,Andy Murray,United Kingdom,GBR,51.60%
31,Gael Monfils,France,FRA,51.56%
32,Nick Kyrgios,Australia,AUS,51.53%
33,Tomas Machac,Czech Republic,CZE,51.38%
34,Jack Draper,United Kingdom,GBR,51.30%
35,Adrian Mannarino,France,FRA,51.23%
36,Alexander Zverev,Germany,GER,51.10%
37,Marton Fucsovics,Hungary,HUN,51.07%
38,Lorenzo Musetti,Italy,ITA,51.04%
39,Emil Ruusuvuori,Finland,FIN,50.92%
40,Fabio Fognini,Italy,ITA,50.81%
